ID,Kuvatiedosto,Tuote,Brändi,Kategoria,Alakategoria,Koko,Kokotyyppi,Väri,Kuntoluokka,Kunnon kuvaus,Hinta (EUR),Kirpputori,Kaupunki,Pöytä,Myyjätunnus,Otsikko,Hakusanat
RS-079,Moncler_Maya_takki_2_musta.png,Maya untuvatakki,Moncler,Takit,Untuvatakki,2 (M),Unisex,Musta,Erinomainen,"Kiiltopinta ehjä, untuva täyteläinen, vetoketju toimii",650,Relove Freda,Helsinki,3,M-103,Moncler Maya takki 2 musta,"moncler, maya, untuvatakki, designer, unisex"
RS-080,Monivärinen_raitaneule.png,Käsinneulottu raitaneule,Merkitön,Yläosat,Neule,M,Unisex,Monivärinen,Hyvä,"Kevyttä nyppyyntymistä, ei reikiä, resorit tallella",45,Siisti Kirppis,Helsinki,22,M-022,Käsinneulottu raitaneule M monivärinen,"neule, käsityö, raita, vintage, unisex"
RS-081,Puma_Speedcat_kengät_38_musta.png,Speedcat kengät,Puma,Kengät,Lenkkarit,38,Unisex,Musta,Kohtalainen,"Mokka kulunut ja haalistunut, pohjat likaiset",40,Tapanilan kirppis,Helsinki,41,M-041,Puma Speedcat kengät 38 musta,"puma, speedcat, lenkkarit, mokka, unisex"
RS-082,Raidallinen_minihame.png,Raidallinen minihame,Merkitön,Hameet,Minihame,38,Naisten,Oranssi ja pinkki,Kohtalainen,"Helmassa rispaantumaa, napit tallella",20,Siisti Kirppis,Helsinki,22,M-022,Raidallinen minihame 38 oranssi,"minihame, raita, vintage, 70-luku, naisten"
RS-083,Ralph_Lauren_polo.png,Pikeepaita,Ralph Lauren,Yläosat,Pikeepaita,L,Miesten,Tummansininen,Hyvä,"Väri haalistunut tasaisesti, brodeeraus ehjä",25,Tapanilan kirppis,Helsinki,27,M-027,Ralph Lauren pikeepaita L tummansininen,"ralph lauren, pikee, polo, klassikko, miesten"
RS-084,Ray-Ban_Wayfarer.png,Wayfarer aurinkolasit,Ray-Ban,Asusteet,Aurinkolasit,Onesize,Unisex,Musta,Hyvä,"Kehykset ehjät, linsseissä kevyttä pintanaarmua",60,Bella Kirppis Suomenoja,Espoo,3,M-003,Ray-Ban Wayfarer aurinkolasit musta,"ray-ban, wayfarer, aurinkolasit, klassikko, unisex"
RS-085,Reima_kurahaalari_110_cm_keltainen.png,Talvihaalari,Reima,Lastenvaatteet,Talvihaalari,110 cm,Lasten,Petrooli ja koralli,Hyvä,"Polvissa ja takamuksessa likajälkiä, pinnoite ehjä",30,Skidilandia,Helsinki,7,M-007,Reima talvihaalari 110 cm petroolinsininen,"reima, talvihaalari, lastenvaate, ulkoilu, lapset"
RS-086,Rukka_ajopuku_vintage_L_musta.png,Moottoripyöräajopuku,Rukka,Ulkoiluvaatteet,Ajopuku,L,Miesten,Musta ja sininen,Kohtalainen,"Polvisuojissa hankaumaa, heijastimet himmentyneet, vetoketjut toimivat",90,Siisti Kirppis,Helsinki,22,M-022,Rukka ajopuku L musta sininen,"rukka, ajopuku, moottoripyörä, vintage, miesten"
RS-087,Ruudullinen_poolopusero__punavalkoinen.png,Ruutupoolo,Merkitön,Yläosat,Poolopusero,S,Naisten,Luonnonvalkoinen ja punainen,Kulunut,"Hihoissa ja helmassa reikiä, kangas ohentunut",20,Siisti Kirppis,Helsinki,22,M-022,Ruutupoolo S luonnonvalkoinen punainen,"poolopusero, ruutu, vintage, neule, naisten"
RS-088,Name_It_lastenvaatepaketti.png,"Lastenvaatepaketti, 4 osaa",Name It,Lastenvaatteet,Setti,98 cm,Lasten,Sininen ja beige,Hyvä,"Kevyttä pesuhaalistumaa, ei reikiä",20,Skidilandia,Helsinki,7,M-007,Name It lastenvaatepaketti 98 cm,"name it, lastenvaate, paketti, setti, lapset"
RS-089,Nelly_juhlamekko_36_oranssi.png,Kietaisumekko,Nelly,Mekot,Juhlamekko,36,Naisten,Poltettu oranssi,Erinomainen,"Kangas ehjä, vyö tallella, ei tahroja",35,Bella Kirppis Suomenoja,Espoo,3,M-003,Nelly kietaisumekko 36 poltettu oranssi,"nelly, mekko, kietaisu, juhla, naisten"
RS-090,New_Balance_550_lenkkarit_41_valkoinen.png,550 lenkkarit,New Balance,Kengät,Lenkkarit,41,Unisex,Valkoinen ja sininen,Kohtalainen,"Nahassa taitteita, välipohja likaantunut, nauhat kellastuneet",55,Tapanilan kirppis,Helsinki,41,M-041,New Balance 550 lenkkarit 41 valkoinen,"new balance, 550, lenkkarit, retro, unisex"
RS-091,Nike_Blazer_Mid_77_lenkkarit_41_valkoinen.png,Blazer Mid 77 lenkkarit,Nike,Kengät,Lenkkarit,41,Unisex,Valkoinen,Kohtalainen,"Kärkimokka likaantunut, välipohja kellastunut",40,Tapanilan kirppis,Helsinki,41,M-041,Nike Blazer Mid 77 lenkkarit 41 valkoinen,"nike, blazer mid, lenkkarit, retro, unisex"
RS-092,Nike_Tech_Fleece_housut_M_harmaa.png,Tech Fleece housut,Nike,Housut,Collegehousut,M,Miesten,Harmaa,Hyvä,"Kevyttä nyppyyntymistä, vetoketjut ja nyörit ehjät",40,Tapanilan kirppis,Helsinki,27,M-027,Nike Tech Fleece housut M harmaa,"nike, tech fleece, housut, streetwear, miesten"
RS-093,Nike_Windrunner_takki.png,Windrunner tuulitakki,Nike,Takit,Tuulitakki,M,Unisex,Sininen ja punainen,Hyvä,"Kangas siisti, resorit tallella, vetoketju toimii",35,Tapanilan kirppis,Helsinki,27,M-027,Nike Windrunner tuulitakki M sininen,"nike, windrunner, tuulitakki, retro, unisex"
RS-094,Oakley_aurinkolasit_vintage.png,Vintage-urheiluaurinkolasit,Oakley,Asusteet,Aurinkolasit,Onesize,Unisex,Hopea,Kohtalainen,"Linssipinnoite kulunut laikuiksi, kehykset ehjät",55,Hertsikan kirppis,Helsinki,55,M-055,Oakley aurinkolasit vintage hopea,"oakley, aurinkolasit, y2k, urheilu, unisex"
RS-095,Only_farkut_W28_L30_tummat.png,Skinny-farkut,Only,Housut,Farkut,W28 L30,Naisten,Tumma sininen,Hyvä,"Kevyttä pesuhaalistumaa, joustot tallella",15,Bella Kirppis Suomenoja,Espoo,3,M-003,Only farkut W28 L30 tumma sininen,"only, farkut, skinny, arki, naisten"
RS-096,Patagonia_Nano_Puff.png,Nano Puff välitakki,Patagonia,Ulkoiluvaatteet,Välitakki,M,Miesten,Vihreä,Erinomainen,"Kangas ehjä, ei reikiä, vetoketju toimii",85,Tapanilan kirppis,Helsinki,12,M-012,Patagonia Nano Puff takki M vihreä,"patagonia, nano puff, välitakki, ulkoilu, miesten"
RS-097,Patagonia_Retro-X_fleece.png,Retro-X fleecetakki,Patagonia,Ulkoiluvaatteet,Fleecetakki,M,Unisex,Luonnonvalkoinen ja ruskea,Erinomainen,"Nukka täyteläinen, taskut ja vetoketju ehjät",120,Tapanilan kirppis,Helsinki,12,M-012,Patagonia Retro-X fleece M luonnonvalkoinen,"patagonia, retro-x, fleece, ulkoilu, unisex"
RS-098,Peak_Performance_takki.png,Untuvatakki,Peak Performance,Takit,Untuvatakki,M,Miesten,Tummansininen,Hyvä,"Untuva tasainen, kangas siisti, vetoketju toimii",90,Tapanilan kirppis,Helsinki,12,M-012,Peak Performance untuvatakki M tummansininen,"peak performance, untuvatakki, skandi, talvi, miesten"
RS-099,Polarn_O__Pyret_välikausihaalari.png,Talvihaalari,Polarn O. Pyret,Lastenvaatteet,Talvihaalari,86 cm,Lasten,Salvianvihreä,Hyvä,"Polvissa kevyttä likaantumaa, vetoketju toimii",30,Skidilandia,Helsinki,7,M-007,Polarn O. Pyret talvihaalari 86 cm salvianvihreä,"polarn o pyret, talvihaalari, lastenvaate, ulkoilu, lapset"
RS-100,Prada_nylon_mini_bag_vintage.png,Nylon mini bag,Prada,Laukut,Käsilaukku,Onesize,Naisten,Musta,Hyvä,"Nylon siisti, kolmiologo ehjä, hihna säädettävä",380,Relove Freda,Helsinki,3,M-103,Prada nylon mini bag musta,"prada, nylon, mini bag, y2k, naisten"
RS-101,Vans_Old_Skool_lenkkarit_40_musta.png,Old Skool lenkkarit,Vans,Kengät,Lenkkarit,40,Unisex,Musta ja harmaa,Kulunut,"Kangas voimakkaasti haalistunut ja laikukas, pohjat likaiset",12,Tapanilan kirppis,Helsinki,41,M-041,Vans Old Skool lenkkarit 40 musta,"vans, old skool, lenkkarit, kangas, unisex"
RS-102,Versace_aurinkolasit_vintage.png,Vintage-aurinkolasit,Versace,Asusteet,Aurinkolasit,Onesize,Unisex,Kulta ja musta,Erinomainen,"Kehykset ehjät, linsseissä vain kevyttä pintanaarmua",65,Relove Freda,Helsinki,3,M-103,Versace aurinkolasit vintage kulta,"versace, aurinkolasit, vintage, medusa, unisex"
RS-103,Vihreä_nahkatakki.png,Nahkatakki,Merkitön,Takit,Nahkatakki,M,Naisten,Oliivinvihreä,Hyvä,"Nahka haalistunut olkapäiltä ja hihansuista, patinoitunut mutta ehjä",70,Siisti Kirppis,Helsinki,22,M-022,Nahkatakki M oliivinvihreä,"nahkatakki, vihreä, vintage, biker, naisten"
RS-104,Vihreä_puolivetoketjuneule.png,Puolivetoketjuneule,Merkitön,Yläosat,Neule,S,Naisten,Oliivinvihreä,Erinomainen,"Ei näkyviä kulumia, väri tasainen, vetoketju toimii",20,Siisti Kirppis,Helsinki,22,M-022,Puolivetoketjuneule S oliivinvihreä,"neule, puolivetoketju, vihreä, vintage, naisten"
RS-105,Vihreä_ribbineule_vetoketjulla.png,Ribbineule vetoketjulla,Merkitön,Yläosat,Neuletakki,M,Naisten,Vaaleanvihreä,Kohtalainen,Hihoissa ja olkapäillä vaaleita tahroja ja haalistumaa,12,Siisti Kirppis,Helsinki,22,M-022,Ribbineule vetoketjulla M vaaleanvihreä,"neuletakki, ribbi, vihreä, vintage, naisten"
RS-106,Viininpunainen_verryttelytakki.png,Verryttelytakki,Adidas,Takit,Verryttelytakki,M,Unisex,Viininpunainen ja beige,Erinomainen,"Ei nyppyyntymistä, resorit tiukat, vetoketju ehjä",35,Hertsikan kirppis,Helsinki,55,M-055,Adidas verryttelytakki M viininpunainen,"adidas, verryttelytakki, retro, y2k, unisex"
RS-107,Von_Dutch_lippis.png,Trucker-lippis,Von Dutch,Asusteet,Lippis,Onesize,Unisex,Vaaleanpunainen ja valkoinen,Hyvä,Etupaneelissa kellastumaa lipan yläreunassa,18,Hertsikan kirppis,Helsinki,55,M-055,Von Dutch lippis vaaleanpunainen,"von dutch, lippis, trucker, y2k, unisex"
RS-108,Weekday_Rowe_farkut_W29_L32_siniset.png,Rowe-farkut,Weekday,Housut,Farkut,W29 L32,Naisten,Sininen,Hyvä,"Pesuhaalistumaa reisissä ja polvissa, ei reikiä",25,Bella Kirppis Suomenoja,Espoo,3,M-003,Weekday Rowe farkut W29 L32 siniset,"weekday, rowe, farkut, straight, naisten"
RS-109,Salomon_XT-6_kengät_40_musta.png,XT-6 kengät,Salomon,Kengät,Lenkkarit,40,Unisex,Musta ja beige,Kohtalainen,"Välipohja kellastunut, mesh likaantunut, kuviopohja kulunut",45,Tapanilan kirppis,Helsinki,41,M-041,Salomon XT-6 kengät 40 musta,"salomon, xt-6, lenkkarit, trail, unisex"
RS-110,Sandqvist_reppu.png,Rullareppu,Sandqvist,Laukut,Reppu,Onesize,Unisex,Oliivinvihreä,Hyvä,"Vahakangas haalistunut taitoksista, nahkahihnat ehjät",55,Tapanilan kirppis,Helsinki,33,M-033,Sandqvist reppu oliivinvihreä,"sandqvist, reppu, rolltop, skandi, unisex"
RS-111,Steve_Madden_korkokengät.png,Korkokengät,Steve Madden,Kengät,Korkokengät,38,Naisten,Musta,Kohtalainen,"Kärjissä naarmuja ja hankaumaa, korot ehjät",20,Hertsikan kirppis,Helsinki,55,M-055,Steve Madden korkokengät 38 musta,"steve madden, korkokengät, avokkaat, y2k, naisten"
RS-112,Stone_Island_neule_L_vihreä.png,Neulepusero,Stone Island,Yläosat,Neule,L,Miesten,Oliivinvihreä,Hyvä,"Kevyttä nyppyyntymistä, badge ehjä, väri hieman haalistunut",90,Tapanilan kirppis,Helsinki,27,M-027,Stone Island neule L oliivinvihreä,"stone island, neule, streetwear, designer, miesten"
RS-113,Superdry_takki.png,Välikausitakki,Superdry,Takit,Välikausitakki,M,Miesten,Tummansininen,Hyvä,"Kangas siisti, vetoketjut toimivat, hihansuissa kevyttä kulumaa",35,Tapanilan kirppis,Helsinki,27,M-027,Superdry takki M tummansininen,"superdry, takki, välikausi, navy, miesten"
RS-114,The_North_Face_Nuptse_700.png,Nuptse 700 untuvatakki,The North Face,Takit,Untuvatakki,L,Miesten,Musta,Hyvä,"Untuva täyteläinen, hihansuissa pieniä kulumia, vetoketju toimii",130,Tapanilan kirppis,Helsinki,12,M-012,The North Face Nuptse 700 takki L musta,"north face, nuptse, untuvatakki, talvi, miesten"
RS-115,Timberland_6_inch_maiharit_42_vehnänkeltainen.png,6 Inch maiharit,Timberland,Kengät,Maiharit,42,Unisex,Vehnänkeltainen,Kohtalainen,"Nubukki tummunut ja laikukas kärjistä, pohjat kuluneet",45,Tapanilan kirppis,Helsinki,41,M-041,Timberland 6 Inch maiharit 42 vehnänkeltainen,"timberland, maiharit, nubukki, talvi, unisex"
RS-116,Tommy_Hilfiger_sweatshirt.png,Collegepaita,Tommy Hilfiger,Yläosat,Collegepaita,L,Unisex,Luonnonvalkoinen,Hyvä,"Kevyttä kellastumaa, brodeeraus ehjä, resorit venyneet",25,Tapanilan kirppis,Helsinki,27,M-027,Tommy Hilfiger collegepaita L luonnonvalkoinen,"tommy hilfiger, college, sweatshirt, vintage, unisex"
RS-117,Toteme_paita_36_raidallinen.png,Raidallinen kauluspaita,Merkitön,Yläosat,Kauluspaita,36,Naisten,Sininen ja valkoinen,Hyvä,"Kangas siisti, ei tahroja, napit tallella",20,Siisti Kirppis,Helsinki,22,M-022,Raidallinen kauluspaita 36 sinivalkoinen,"kauluspaita, raita, puuvilla, oversize, naisten"
RS-118,Toteme_paita_36_valkoinen.png,Kauluspaita,Totême,Yläosat,Kauluspaita,36,Naisten,Luonnonvalkoinen,Erinomainen,"Ei tahroja tai kulumia, kangas ryhdikäs",55,Hertsikan kirppis,Helsinki,19,M-019,Totême kauluspaita 36 valkoinen,"toteme, kauluspaita, minimalismi, skandi, naisten"
RS-119,UGG_Classic_Mini_nilkkurit_38_kastanjanruskea.png,Classic Mini nilkkurit,UGG,Kengät,Nilkkurit,38,Naisten,Kastanjanruskea,Kohtalainen,"Mokassa vesitahroja kärjissä, villavuori litistynyt",40,Bella Kirppis Suomenoja,Espoo,3,M-003,UGG Classic Mini nilkkurit 38 kastanjanruskea,"ugg, classic mini, nilkkurit, mokka, naisten"
RS-120,Uniqlo_Ultra_Light_Down_takki_M_vihreä.png,Ultra Light Down takki,Uniqlo,Takit,Untuvatakki,M,Miesten,Oliivinvihreä,Erinomainen,"Ei reikiä tai tahroja, untuva tasainen, vetoketju toimii",30,Tapanilan kirppis,Helsinki,27,M-027,Uniqlo Ultra Light Down takki M vihreä,"uniqlo, untuvatakki, kevyt, arki, miesten"
RS-121,Zara_trenssi.png,Trenssitakki,Zara,Päällystakit,Trenssi,M,Naisten,Beige,Erinomainen,"Ei tahroja, napit ja vyö tallella, kangas ryhdikäs",40,Hertsikan kirppis,Helsinki,19,M-019,Zara trenssi M beige,"zara, trenssi, takki, kevät, naisten"
